id,prediction,prediction_biased
0_20151121,365428.78125,365428.78125
0_20151122,363248.583984375,363248.583984375
0_20151123,264432.0390625,264432.0390625
0_20151124,253795.74609375,253795.74609375
0_20151125,259311.947265625,259311.947265625
0_20151126,182782.4326171875,182782.4326171875
0_20151127,236137.2333984375,236137.2333984375
0_20151128,301654.0078125,301654.0078125
0_20151129,320366.50390625,320366.50390625
0_20151130,267036.42578125,267036.42578125
0_20151201,266521.03515625,266521.03515625
0_20151202,263121.263671875,263121.263671875
0_20151203,273545.0859375,273545.0859375
0_20151204,317722.90625,317722.90625
0_20151205,381313.234375,381313.234375
0_20151206,383253.66015625,383253.66015625
0_20151207,294348.490234375,294348.490234375
0_20151208,271057.865234375,271057.865234375
0_20151209,265393.380859375,265393.380859375
0_20151210,261346.404296875,261346.404296875
0_20151211,276706.544921875,276706.544921875
0_20151212,353202.064453125,353202.064453125
0_20151213,377515.951171875,377515.951171875
0_20151214,326066.21484375,326066.21484375
0_20151215,271614.78515625,271614.78515625
0_20151216,261874.244140625,261874.244140625
0_20151217,256649.89453125,256649.89453125
0_20151218,266702.55859375,266702.55859375
0_20151219,332758.083984375,332758.083984375
0_20151220,342265.46875,342265.46875
0_20151221,282357.580078125,282357.580078125
0_20151222,264478.615234375,264478.615234375
0_20151223,260319.056640625,260319.056640625
0_20151224,253189.04296875,253189.04296875
0_20151225,0.0,0.0
0_20151226,288633.673828125,288633.673828125
0_20151227,275915.787109375,275915.787109375
0_20151228,257602.611328125,257602.611328125
0_20151229,243907.9775390625,243907.9775390625
0_20151230,244374.4580078125,244374.4580078125
0_20151231,251455.880859375,251455.880859375
10_20151001,21879.37109375,21879.37109375
10_20151002,25670.845703125,25670.845703125
10_20151003,29875.72265625,29875.72265625
10_20151004,30833.025390625,30833.025390625
10_20151005,23494.298828125,23494.298828125
10_20151006,21805.619140625,21805.619140625
10_20151007,21871.509765625,21871.509765625
10_20151008,21228.9609375,21228.9609375
10_20151009,23642.513671875,23642.513671875
10_20151010,29212.125,29212.125
10_20151011,30573.76953125,30573.76953125
10_20151012,23744.6015625,23744.6015625
10_20151013,23392.99609375,23392.99609375
10_20151014,23184.890625,23184.890625
10_20151015,22367.181640625,22367.181640625
10_20151016,25045.140625,25045.140625
10_20151017,29993.919921875,29993.919921875
10_20151018,28918.37890625,28918.37890625
10_20151019,19812.560546875,19812.560546875
10_20151020,17319.83984375,17319.83984375
10_20151021,16790.380859375,16790.380859375
10_20151022,17099.78515625,17099.78515625
10_20151023,20734.580078125,20734.580078125
10_20151024,25391.27734375,25391.27734375
10_20151025,25242.2734375,25242.2734375
10_20151026,18708.642578125,18708.642578125
10_20151027,16921.490234375,16921.490234375
10_20151028,16689.193359375,16689.193359375
10_20151029,16426.66796875,16426.66796875
10_20151030,21783.10546875,21783.10546875
10_20151031,25725.38671875,25725.38671875
10_20151101,26809.595703125,26809.595703125
10_20151102,28471.53125,28471.53125
10_20151103,24494.85546875,24494.85546875
10_20151104,22472.740234375,22472.740234375
10_20151105,21852.6171875,21852.6171875
10_20151106,24618.205078125,24618.205078125
10_20151107,32274.390625,32274.390625
10_20151108,31983.33984375,31983.33984375
10_20151109,22490.15234375,22490.15234375
10_20151110,20932.763671875,20932.763671875
10_20151111,20762.8203125,20762.8203125
10_20151112,20678.734375,20678.734375
10_20151113,24629.029296875,24629.029296875
10_20151114,30066.861328125,30066.861328125
10_20151115,30368.458984375,30368.458984375
10_20151116,21888.81640625,21888.81640625
10_20151117,18718.8828125,18718.8828125
10_20151118,17661.064453125,17661.064453125
10_20151119,17758.876953125,17758.876953125
10_20151120,22210.259765625,22210.259765625
10_20151121,25925.953125,25925.953125
10_20151122,23918.5,23918.5
10_20151123,18958.6953125,18958.6953125
10_20151124,18964.18359375,18964.18359375
10_20151125,19536.748046875,19536.748046875
10_20151126,18265.82421875,18265.82421875
10_20151127,20010.337890625,20010.337890625
10_20151128,21953.9375,21953.9375
10_20151129,21794.771484375,21794.771484375
10_20151130,18577.7890625,18577.7890625
10_20151201,20133.681640625,20133.681640625
10_20151202,21535.2421875,21535.2421875
10_20151203,23856.412109375,23856.412109375
10_20151204,25693.279296875,25693.279296875
10_20151205,29054.59375,29054.59375
10_20151206,29478.6015625,29478.6015625
10_20151207,22657.66796875,22657.66796875
10_20151208,21358.650390625,21358.650390625
10_20151209,21107.96484375,21107.96484375
10_20151210,20598.9375,20598.9375
10_20151211,22900.41796875,22900.41796875
10_20151212,28160.296875,28160.296875
10_20151213,29417.953125,29417.953125
10_20151214,26422.0703125,26422.0703125
10_20151215,21980.654296875,21980.654296875
10_20151216,20069.34375,20069.34375
10_20151217,19325.90234375,19325.90234375
10_20151218,21087.28125,21087.28125
10_20151219,25608.314453125,25608.314453125
10_20151220,25065.42578125,25065.42578125
10_20151221,19772.322265625,19772.322265625
10_20151222,19613.2109375,19613.2109375
10_20151223,20441.865234375,20441.865234375
10_20151224,19855.443359375,19855.443359375
10_20151225,0.0,0.0
10_20151226,23562.259765625,23562.259765625
10_20151227,21576.822265625,21576.822265625
10_20151228,19224.287109375,19224.287109375
10_20151229,18656.078125,18656.078125
10_20151230,18856.234375,18856.234375
10_20151231,18699.193359375,18699.193359375
1_20151001,32563.79296875,32563.79296875
1_20151002,40795.76171875,40795.76171875
1_20151003,49453.765625,49453.765625
1_20151004,51517.71875,51517.71875
1_20151005,37702.296875,37702.296875
1_20151006,33062.76171875,33062.76171875
1_20151007,32425.9921875,32425.9921875
1_20151008,31662.390625,31662.390625
1_20151009,36655.32421875,36655.32421875
1_20151010,46482.80859375,46482.80859375
1_20151011,50562.25,50562.25
1_20151012,36586.515625,36586.515625
1_20151013,30843.01171875,30843.01171875
1_20151014,29654.505859375,29654.505859375
1_20151015,29060.34765625,29060.34765625
1_20151016,34477.9921875,34477.9921875
1_20151017,46039.10546875,46039.10546875
1_20151018,49829.07421875,49829.07421875
1_20151019,34258.9375,34258.9375
1_20151020,29081.380859375,29081.380859375
1_20151021,28567.1328125,28567.1328125
1_20151022,28240.525390625,28240.525390625
1_20151023,33617.8359375,33617.8359375
1_20151024,43702.0703125,43702.0703125
1_20151025,47372.0234375,47372.0234375
1_20151026,33963.41015625,33963.41015625
1_20151027,28786.44921875,28786.44921875
1_20151028,28366.1796875,28366.1796875
1_20151029,28397.66796875,28397.66796875
1_20151030,34394.73828125,34394.73828125
1_20151031,41440.73046875,41440.73046875
1_20151101,50242.6875,50242.6875
1_20151102,38460.42578125,38460.42578125
1_20151103,32785.27734375,32785.27734375
1_20151104,32294.220703125,32294.220703125
1_20151105,31714.9765625,31714.9765625
1_20151106,35984.36328125,35984.36328125
1_20151107,46765.26171875,46765.26171875
1_20151108,50643.1015625,50643.1015625
1_20151109,35743.60546875,35743.60546875
1_20151110,29689.88671875,29689.88671875
1_20151111,30331.71875,30331.71875
1_20151112,27154.712890625,27154.712890625
1_20151113,32270.775390625,32270.775390625
1_20151114,44146.2578125,44146.2578125
1_20151115,48800.1328125,48800.1328125
1_20151116,32852.5546875,32852.5546875
1_20151117,27383.591796875,27383.591796875
1_20151118,26420.087890625,26420.087890625
1_20151119,26606.703125,26606.703125
1_20151120,34380.19140625,34380.19140625
1_20151121,46979.0859375,46979.0859375
1_20151122,48550.421875,48550.421875
1_20151123,33029.55859375,33029.55859375
1_20151124,30716.884765625,30716.884765625
1_20151125,31831.404296875,31831.404296875
1_20151126,18094.328125,18094.328125
1_20151127,27803.365234375,27803.365234375
1_20151128,38958.60546875,38958.60546875
1_20151129,43008.640625,43008.640625
1_20151130,34727.125,34727.125
1_20151201,31787.84765625,31787.84765625
1_20151202,30383.73046875,30383.73046875
1_20151203,30407.404296875,30407.404296875
1_20151204,38840.5,38840.5
1_20151205,49108.4296875,49108.4296875
1_20151206,49437.53125,49437.53125
1_20151207,36422.30859375,36422.30859375
1_20151208,32203.34765625,32203.34765625
1_20151209,31267.556640625,31267.556640625
1_20151210,29702.953125,29702.953125
1_20151211,32236.328125,32236.328125
1_20151212,43880.90625,43880.90625
1_20151213,48575.96875,48575.96875
1_20151214,39914.2578125,39914.2578125
1_20151215,31147.9140625,31147.9140625
1_20151216,30292.06640625,30292.06640625
1_20151217,29248.53515625,29248.53515625
1_20151218,31520.443359375,31520.443359375
1_20151219,42643.83203125,42643.83203125
1_20151220,46072.77734375,46072.77734375
1_20151221,36775.95703125,36775.95703125
1_20151222,32672.56640625,32672.56640625
1_20151223,31823.439453125,31823.439453125
1_20151224,29627.115234375,29627.115234375
1_20151225,0.0,0.0
1_20151226,36457.390625,36457.390625
1_20151227,36361.8828125,36361.8828125
1_20151228,33760.578125,33760.578125
1_20151229,28801.779296875,28801.779296875
1_20151230,29119.1640625,29119.1640625
1_20151231,30398.21484375,30398.21484375
2_20151001,26212.427734375,26212.427734375
2_20151002,31139.6796875,31139.6796875
2_20151003,41516.79296875,41516.79296875
2_20151004,41728.14453125,41728.14453125
2_20151005,27449.45703125,27449.45703125
2_20151006,26010.80078125,26010.80078125
2_20151007,25824.97265625,25824.97265625
2_20151008,25540.14453125,25540.14453125
2_20151009,29545.94140625,29545.94140625
2_20151010,40899.8125,40899.8125
2_20151011,41628.921875,41628.921875
2_20151012,25652.24609375,25652.24609375
2_20151013,24976.560546875,24976.560546875
2_20151014,24917.408203125,24917.408203125
2_20151015,25210.619140625,25210.619140625
2_20151016,29635.21875,29635.21875
2_20151017,41809.265625,41809.265625
2_20151018,41949.0078125,41949.0078125
2_20151019,25898.103515625,25898.103515625
2_20151020,24223.890625,24223.890625
2_20151021,24403.25,24403.25
2_20151022,24541.841796875,24541.841796875
2_20151023,28957.8828125,28957.8828125
2_20151024,40319.046875,40319.046875
2_20151025,40598.9140625,40598.9140625
2_20151026,25385.646484375,25385.646484375
2_20151027,23967.658203125,23967.658203125
2_20151028,24080.16015625,24080.16015625
2_20151029,24101.712890625,24101.712890625
2_20151030,28726.984375,28726.984375
2_20151031,36899.4765625,36899.4765625
2_20151101,40479.46875,40479.46875
2_20151102,27107.615234375,27107.615234375
2_20151103,25383.478515625,25383.478515625
2_20151104,25133.419921875,25133.419921875
2_20151105,24858.98046875,24858.98046875
2_20151106,28255.3984375,28255.3984375
2_20151107,39899.7578125,39899.7578125
2_20151108,40745.34765625,40745.34765625
2_20151109,25746.470703125,25746.470703125
2_20151110,24034.6015625,24034.6015625
2_20151111,23663.3125,23663.3125
2_20151112,23486.12109375,23486.12109375
2_20151113,27828.60546875,27828.60546875
2_20151114,40071.546875,40071.546875
2_20151115,40544.546875,40544.546875
2_20151116,24653.82421875,24653.82421875
2_20151117,23103.09765625,23103.09765625
2_20151118,22937.1484375,22937.1484375
2_20151119,23225.78515625,23225.78515625
2_20151120,28540.81640625,28540.81640625
2_20151121,40844.9921875,40844.9921875
2_20151122,39684.8984375,39684.8984375
2_20151123,24567.91796875,24567.91796875
2_20151124,23875.62109375,23875.62109375
2_20151125,24291.009765625,24291.009765625
2_20151126,14632.03515625,14632.03515625
2_20151127,25260.390625,25260.390625
2_20151128,34575.28515625,34575.28515625
2_20151129,36000.7578125,36000.7578125
2_20151130,25890.19921875,25890.19921875
2_20151201,25001.046875,25001.046875
2_20151202,24984.470703125,24984.470703125
2_20151203,25609.43359375,25609.43359375
2_20151204,32056.22265625,32056.22265625
2_20151205,41853.4140625,41853.4140625
2_20151206,40572.87890625,40572.87890625
2_20151207,26554.92578125,26554.92578125
2_20151208,25025.556640625,25025.556640625
2_20151209,24775.740234375,24775.740234375
2_20151210,24713.16015625,24713.16015625
2_20151211,27557.70703125,27557.70703125
2_20151212,39810.92578125,39810.92578125
2_20151213,40964.671875,40964.671875
2_20151214,29429.77734375,29429.77734375
2_20151215,24733.83984375,24733.83984375
2_20151216,24477.220703125,24477.220703125
2_20151217,24368.3828125,24368.3828125
2_20151218,27176.677734375,27176.677734375
2_20151219,37719.8828125,37719.8828125
2_20151220,38665.96875,38665.96875
2_20151221,27192.10546875,27192.10546875
2_20151222,25378.96484375,25378.96484375
2_20151223,25586.140625,25586.140625
2_20151224,24940.5,24940.5
2_20151225,0.0,0.0
2_20151226,30246.521484375,30246.521484375
2_20151227,28999.224609375,28999.224609375
2_20151228,26542.9375,26542.9375
2_20151229,24303.310546875,24303.310546875
2_20151230,24116.22265625,24116.22265625
2_20151231,24849.76171875,24849.76171875
3_20151001,47620.3671875,47620.3671875
3_20151002,51765.63671875,51765.63671875
3_20151003,63946.140625,63946.140625
3_20151004,69315.4921875,69315.4921875
3_20151005,54708.84375,54708.84375
3_20151006,49433.44140625,49433.44140625
3_20151007,47351.5859375,47351.5859375
3_20151008,46356.34765625,46356.34765625
3_20151009,47410.33984375,47410.33984375
3_20151010,60543.75390625,60543.75390625
3_20151011,67293.71875,67293.71875
3_20151012,52019.21875,52019.21875
3_20151013,46797.41015625,46797.41015625
3_20151014,43539.859375,43539.859375
3_20151015,42311.5859375,42311.5859375
3_20151016,44303.27734375,44303.27734375
3_20151017,58232.359375,58232.359375
3_20151018,65950.21875,65950.21875
3_20151019,49831.99609375,49831.99609375
3_20151020,44218.03125,44218.03125
3_20151021,41352.48046875,41352.48046875
3_20151022,40464.65234375,40464.65234375
3_20151023,42892.6484375,42892.6484375
3_20151024,55094.578125,55094.578125
3_20151025,63095.296875,63095.296875
3_20151026,48531.6953125,48531.6953125
3_20151027,42787.49609375,42787.49609375
3_20151028,40175.00390625,40175.00390625
3_20151029,39754.62890625,39754.62890625
3_20151030,43096.75,43096.75
3_20151031,52481.09375,52481.09375
3_20151101,66471.078125,66471.078125
3_20151102,54845.796875,54845.796875
3_20151103,47411.984375,47411.984375
3_20151104,45205.69921875,45205.69921875
3_20151105,44437.3828125,44437.3828125
3_20151106,45719.921875,45719.921875
3_20151107,59558.078125,59558.078125
3_20151108,66817.0546875,66817.0546875
3_20151109,51692.51953125,51692.51953125
3_20151110,44253.4921875,44253.4921875
3_20151111,45171.96875,45171.96875
3_20151112,39436.76171875,39436.76171875
3_20151113,41630.65234375,41630.65234375
3_20151114,55619.671875,55619.671875
3_20151115,63710.52734375,63710.52734375
3_20151116,48014.22265625,48014.22265625
3_20151117,40572.28515625,40572.28515625
3_20151118,37639.29296875,37639.29296875
3_20151119,37379.6953125,37379.6953125
3_20151120,43115.54296875,43115.54296875
3_20151121,58114.015625,58114.015625
3_20151122,63662.3359375,63662.3359375
3_20151123,46732.37890625,46732.37890625
3_20151124,42852.59765625,42852.59765625
3_20151125,41630.6640625,41630.6640625
3_20151126,26678.98828125,26678.98828125
3_20151127,35003.75390625,35003.75390625
3_20151128,48326.09765625,48326.09765625
3_20151129,55813.765625,55813.765625
3_20151130,47301.62109375,47301.62109375
3_20151201,45017.72265625,45017.72265625
3_20151202,40668.60546875,40668.60546875
3_20151203,41059.234375,41059.234375
3_20151204,46928.546875,46928.546875
3_20151205,60548.15625,60548.15625
3_20151206,63449.1796875,63449.1796875
3_20151207,50026.39453125,50026.39453125
3_20151208,45587.62109375,45587.62109375
3_20151209,42705.44140625,42705.44140625
3_20151210,40806.1484375,40806.1484375
3_20151211,40200.73046875,40200.73046875
3_20151212,52232.41796875,52232.41796875
3_20151213,58403.2578125,58403.2578125
3_20151214,52031.44921875,52031.44921875
3_20151215,43432.05078125,43432.05078125
3_20151216,40721.26953125,40721.26953125
3_20151217,39787.48828125,39787.48828125
3_20151218,39675.11328125,39675.11328125
3_20151219,50321.578125,50321.578125
3_20151220,54564.05078125,54564.05078125
3_20151221,46790.1875,46790.1875
3_20151222,41978.0,41978.0
3_20151223,39035.8125,39035.8125
3_20151224,38177.25390625,38177.25390625
3_20151225,0.0,0.0
3_20151226,46107.52734375,46107.52734375
3_20151227,46511.65234375,46511.65234375
3_20151228,41834.5234375,41834.5234375
3_20151229,39855.89453125,39855.89453125
3_20151230,38645.58984375,38645.58984375
3_20151231,39206.09765625,39206.09765625
4_20151001,19698.599609375,19698.599609375
4_20151002,21682.609375,21682.609375
4_20151003,23919.744140625,23919.744140625
4_20151004,25626.0546875,25626.0546875
4_20151005,21205.900390625,21205.900390625
4_20151006,19664.66796875,19664.66796875
4_20151007,19179.115234375,19179.115234375
4_20151008,19150.287109375,19150.287109375
4_20151009,20001.91796875,20001.91796875
4_20151010,22573.03515625,22573.03515625
4_20151011,24619.84765625,24619.84765625
4_20151012,20062.046875,20062.046875
4_20151013,19197.9765625,19197.9765625
4_20151014,18396.01171875,18396.01171875
4_20151015,18368.978515625,18368.978515625
4_20151016,19104.68359375,19104.68359375
4_20151017,22173.890625,22173.890625
4_20151018,24337.09375,24337.09375
4_20151019,20351.82421875,20351.82421875
4_20151020,18527.857421875,18527.857421875
4_20151021,17786.9609375,17786.9609375
4_20151022,17963.939453125,17963.939453125
4_20151023,18624.6875,18624.6875
4_20151024,21268.76171875,21268.76171875
4_20151025,23214.228515625,23214.228515625
4_20151026,19761.716796875,19761.716796875
4_20151027,18259.35546875,18259.35546875
4_20151028,17597.6015625,17597.6015625
4_20151029,17843.7578125,17843.7578125
4_20151030,18902.818359375,18902.818359375
4_20151031,20164.876953125,20164.876953125
4_20151101,24408.25390625,24408.25390625
4_20151102,21369.7421875,21369.7421875
4_20151103,19240.23046875,19240.23046875
4_20151104,18616.12109375,18616.12109375
4_20151105,18410.18359375,18410.18359375
4_20151106,19106.716796875,19106.716796875
4_20151107,22554.04296875,22554.04296875
4_20151108,24707.34765625,24707.34765625
4_20151109,20127.759765625,20127.759765625
4_20151110,18066.322265625,18066.322265625
4_20151111,17322.681640625,17322.681640625
4_20151112,17097.900390625,17097.900390625
4_20151113,17645.6328125,17645.6328125
4_20151114,21359.28515625,21359.28515625
4_20151115,23785.373046875,23785.373046875
4_20151116,19477.9375,19477.9375
4_20151117,17534.587890625,17534.587890625
4_20151118,16597.076171875,16597.076171875
4_20151119,16695.328125,16695.328125
4_20151120,18132.498046875,18132.498046875
4_20151121,22375.2109375,22375.2109375
4_20151122,23813.90234375,23813.90234375
4_20151123,19343.115234375,19343.115234375
4_20151124,18421.169921875,18421.169921875
4_20151125,18027.927734375,18027.927734375
4_20151126,10922.865234375,10922.865234375
4_20151127,15567.0029296875,15567.0029296875
4_20151128,19148.40234375,19148.40234375
4_20151129,21044.82421875,21044.82421875
4_20151130,19643.328125,19643.328125
4_20151201,19171.2421875,19171.2421875
4_20151202,18313.279296875,18313.279296875
4_20151203,17971.935546875,17971.935546875
4_20151204,19523.97265625,19523.97265625
4_20151205,22928.31640625,22928.31640625
4_20151206,24057.83203125,24057.83203125
4_20151207,20286.501953125,20286.501953125
4_20151208,18619.09765625,18619.09765625
4_20151209,18094.43359375,18094.43359375
4_20151210,17683.52734375,17683.52734375
4_20151211,17277.80859375,17277.80859375
4_20151212,20467.978515625,20467.978515625
4_20151213,22877.1953125,22877.1953125
4_20151214,21517.46875,21517.46875
4_20151215,18548.927734375,18548.927734375
4_20151216,17898.90234375,17898.90234375
4_20151217,17693.64453125,17693.64453125
4_20151218,17040.00390625,17040.00390625
4_20151219,20015.662109375,20015.662109375
4_20151220,21522.162109375,21522.162109375
4_20151221,20281.953125,20281.953125
4_20151222,18716.919921875,18716.919921875
4_20151223,17702.306640625,17702.306640625
4_20151224,17442.85546875,17442.85546875
4_20151225,0.0,0.0
4_20151226,17596.83984375,17596.83984375
4_20151227,17573.283203125,17573.283203125
4_20151228,16786.443359375,16786.443359375
4_20151229,16125.4150390625,16125.4150390625
4_20151230,15750.4228515625,15750.4228515625
4_20151231,16530.859375,16530.859375
5_20151001,23435.3046875,23435.3046875
5_20151002,27097.5390625,27097.5390625
5_20151003,31683.39453125,31683.39453125
5_20151004,34071.4375,34071.4375
5_20151005,24928.140625,24928.140625
5_20151006,23393.921875,23393.921875
5_20151007,23059.296875,23059.296875
5_20151008,23291.654296875,23291.654296875
5_20151009,25356.673828125,25356.673828125
5_20151010,31461.421875,31461.421875
5_20151011,34636.7734375,34636.7734375
5_20151012,26260.451171875,26260.451171875
5_20151013,23149.064453125,23149.064453125
5_20151014,22527.267578125,22527.267578125
5_20151015,22545.384765625,22545.384765625
5_20151016,24314.40234375,24314.40234375
5_20151017,31155.759765625,31155.759765625
5_20151018,33819.77734375,33819.77734375
5_20151019,24040.19140625,24040.19140625
5_20151020,21553.794921875,21553.794921875
5_20151021,21163.0234375,21163.0234375
5_20151022,21459.685546875,21459.685546875
5_20151023,23175.45703125,23175.45703125
5_20151024,29220.2265625,29220.2265625
5_20151025,31446.28125,31446.28125
5_20151026,23236.287109375,23236.287109375
5_20151027,20862.341796875,20862.341796875
5_20151028,20672.29296875,20672.29296875
5_20151029,21222.01171875,21222.01171875
5_20151030,23511.875,23511.875
5_20151031,28340.203125,28340.203125
5_20151101,32944.17578125,32944.17578125
5_20151102,25031.033203125,25031.033203125
5_20151103,22637.341796875,22637.341796875
5_20151104,22235.009765625,22235.009765625
5_20151105,22485.548828125,22485.548828125
5_20151106,24252.09765625,24252.09765625
5_20151107,30999.228515625,30999.228515625
5_20151108,33472.9140625,33472.9140625
5_20151109,23690.7265625,23690.7265625
5_20151110,21800.7421875,21800.7421875
5_20151111,21957.234375,21957.234375
5_20151112,21641.173828125,21641.173828125
5_20151113,23358.15625,23358.15625
5_20151114,30332.125,30332.125
5_20151115,32876.734375,32876.734375
5_20151116,22743.095703125,22743.095703125
5_20151117,20922.26171875,20922.26171875
5_20151118,20676.041015625,20676.041015625
5_20151119,21005.162109375,21005.162109375
5_20151120,23763.3046875,23763.3046875
5_20151121,31191.03125,31191.03125
5_20151122,31888.15625,31888.15625
5_20151123,21970.625,21970.625
5_20151124,21300.005859375,21300.005859375
5_20151125,22108.138671875,22108.138671875
5_20151126,19636.212890625,19636.212890625
5_20151127,19870.552734375,19870.552734375
5_20151128,26124.990234375,26124.990234375
5_20151129,28143.486328125,28143.486328125
5_20151130,22370.802734375,22370.802734375
5_20151201,22407.876953125,22407.876953125
5_20151202,22284.76953125,22284.76953125
5_20151203,22008.724609375,22008.724609375
5_20151204,24691.306640625,24691.306640625
5_20151205,31784.07421875,31784.07421875
5_20151206,32989.4609375,32989.4609375
5_20151207,23720.826171875,23720.826171875
5_20151208,22249.87890625,22249.87890625
5_20151209,22238.5234375,22238.5234375
5_20151210,22359.54296875,22359.54296875
5_20151211,23192.5078125,23192.5078125
5_20151212,29487.15625,29487.15625
5_20151213,32424.537109375,32424.537109375
5_20151214,27311.98828125,27311.98828125
5_20151215,22727.16796875,22727.16796875
5_20151216,22723.513671875,22723.513671875
5_20151217,22617.181640625,22617.181640625
5_20151218,22933.6953125,22933.6953125
5_20151219,28365.298828125,28365.298828125
5_20151220,30044.6171875,30044.6171875
5_20151221,24006.154296875,24006.154296875
5_20151222,22953.744140625,22953.744140625
5_20151223,22847.9765625,22847.9765625
5_20151224,22193.169921875,22193.169921875
5_20151225,0.0,0.0
5_20151226,24422.00390625,24422.00390625
5_20151227,24180.046875,24180.046875
5_20151228,22869.8359375,22869.8359375
5_20151229,21908.25390625,21908.25390625
5_20151230,21712.0625,21712.0625
5_20151231,22072.71484375,22072.71484375
6_20151001,28136.41015625,28136.41015625
6_20151002,33140.05859375,33140.05859375
6_20151003,37716.328125,37716.328125
6_20151004,40059.03125,40059.03125
6_20151005,31417.69921875,31417.69921875
6_20151006,28298.904296875,28298.904296875
6_20151007,28023.046875,28023.046875
6_20151008,27843.494140625,27843.494140625
6_20151009,30956.99609375,30956.99609375
6_20151010,37518.609375,37518.609375
6_20151011,41106.90625,41106.90625
6_20151012,32510.615234375,32510.615234375
6_20151013,27252.873046875,27252.873046875
6_20151014,26768.03125,26768.03125
6_20151015,26504.353515625,26504.353515625
6_20151016,29502.8203125,29502.8203125
6_20151017,36950.390625,36950.390625
6_20151018,39973.6171875,39973.6171875
6_20151019,29463.095703125,29463.095703125
6_20151020,25225.244140625,25225.244140625
6_20151021,25064.669921875,25064.669921875
6_20151022,25217.740234375,25217.740234375
6_20151023,28193.421875,28193.421875
6_20151024,34250.6171875,34250.6171875
6_20151025,37015.953125,37015.953125
6_20151026,28611.498046875,28611.498046875
6_20151027,24585.97265625,24585.97265625
6_20151028,24726.232421875,24726.232421875
6_20151029,25177.830078125,25177.830078125
6_20151030,28737.513671875,28737.513671875
6_20151031,33793.2890625,33793.2890625
6_20151101,37514.97265625,37514.97265625
6_20151102,30982.255859375,30982.255859375
6_20151103,26343.98828125,26343.98828125
6_20151104,26286.515625,26286.515625
6_20151105,26208.291015625,26208.291015625
6_20151106,28665.45703125,28665.45703125
6_20151107,35070.1171875,35070.1171875
6_20151108,38464.6796875,38464.6796875
6_20151109,29340.7265625,29340.7265625
6_20151110,25225.392578125,25225.392578125
6_20151111,26278.5,26278.5
6_20151112,24646.87890625,24646.87890625
6_20151113,27471.716796875,27471.716796875
6_20151114,34682.91015625,34682.91015625
6_20151115,38355.37890625,38355.37890625
6_20151116,27826.28515625,27826.28515625
6_20151117,24146.849609375,24146.849609375
6_20151118,24355.609375,24355.609375
6_20151119,24316.07421875,24316.07421875
6_20151120,28014.955078125,28014.955078125
6_20151121,35942.015625,35942.015625
6_20151122,37302.1484375,37302.1484375
6_20151123,26913.88671875,26913.88671875
6_20151124,25231.46875,25231.46875
6_20151125,27138.677734375,27138.677734375
6_20151126,21275.19921875,21275.19921875
6_20151127,22889.37109375,22889.37109375
6_20151128,29659.9140625,29659.9140625
6_20151129,32033.34765625,32033.34765625
6_20151130,27059.080078125,27059.080078125
6_20151201,25680.244140625,25680.244140625
6_20151202,25027.73828125,25027.73828125
6_20151203,24975.263671875,24975.263671875
6_20151204,29787.515625,29787.515625
6_20151205,36570.44140625,36570.44140625
6_20151206,37816.1953125,37816.1953125
6_20151207,28657.373046875,28657.373046875
6_20151208,26213.474609375,26213.474609375
6_20151209,26139.05078125,26139.05078125
6_20151210,26011.3359375,26011.3359375
